,alpha_power_1,alpha_power_2,alpha_power_3,alpha_power_4,alpha_power_5,alpha_power_6,alpha_power_7,alpha_power_8,beta_power_1,beta_power_2,beta_power_3,beta_power_4,beta_power_5,beta_power_6,beta_power_7,beta_power_8,gamma_power_1,gamma_power_2,gamma_power_3,gamma_power_4,gamma_power_5,gamma_power_6,gamma_power_7,gamma_power_8,theta_power_1,theta_power_2,theta_power_3,theta_power_4,theta_power_5,theta_power_6,theta_power_7,theta_power_8,label
12,0.045907204,0.014281904,0.009984264,0.012851497,0.012468491,0.021109146,0.01276715,0.022202584,0.09929359,0.064052787,0.053871986,0.02577241,0.022523661,0.033862797,0.014380695,0.037086329,0.12773413,0.078056492,0.337149973,0.436116564,0.50606555,0.251211671,0.611080089,0.098421152,0.062178343,0.036716162,0.026762466,0.029657486,0.024443868,0.039521012,0.017158799,0.044992538,normal
13,0.079019471,0.016421495,0.010731355,0.013417575,0.012101506,0.022671028,0.008978747,0.023671596,0.177995433,0.033176073,0.024091694,0.020187423,0.017912716,0.030103895,0.00884679,0.040010966,0.245370295,0.051267814,0.333388997,0.478193732,0.543507888,0.302780522,0.443983844,0.176157492,0.102616118,0.045155959,0.026740319,0.029417255,0.023536678,0.037286077,0.016969793,0.040377934,normal
14,0.046329777,0.021190632,0.007106766,0.020275124,0.018247759,0.025701879,0.010343221,0.00429329,0.099310959,0.062830147,0.018798951,0.033421356,0.027665711,0.033528252,0.013649387,0.008353182,0.143132299,0.09271618,0.146612964,0.502295537,0.571388625,0.289490065,0.582525545,0.138826598,0.062666784,0.061682432,0.017054119,0.042630529,0.036163204,0.054091903,0.018591936,0.010023216,normal
15,0.010730636,0.009622722,0.009761456,0.009725176,0.010432475,0.006866699,0.009348425,0.012212286,0.014316905,0.011186114,0.011039319,0.01072307,0.015473031,0.008099826,0.010945618,0.023238503,0.018534049,0.008296467,0.010146798,0.008569868,0.054586007,0.019092105,0.031537902,0.056124332,0.027531322,0.028265924,0.026868912,0.026520531,0.026330528,0.018665943,0.026633483,0.027229777,normal
16,0.007968031,0.003185128,0.004463309,0.01271032,0.018491888,0.015326226,0.033602499,0.010126611,0.021093748,0.005186608,0.005640297,0.012181778,0.017743944,0.012692491,0.023405367,0.010334736,0.025351567,0.011569392,0.022671593,0.033125785,0.085490373,0.140969806,0.085049828,0.025368085,0.009720019,0.011526767,0.013826628,0.021966133,0.027929972,0.01966273,0.027748241,0.015710298,normal
17,0.02085442,0.011065761,0.011880446,0.013692666,0.012999588,0.011876665,0.014072084,0.016214065,0.065168751,0.012906151,0.016789374,0.024637987,0.017503812,0.015378236,0.016652747,0.039537548,0.220627403,0.00918087,0.026367673,0.06099248,0.024484093,0.040180069,0.026346592,0.119440272,0.02925975,0.031313117,0.031574204,0.030773457,0.033557489,0.029836929,0.031638689,0.029953949,normal
18,0.058222789,0.00315037,0.004325864,0.005840322,0.006434668,0.005150889,0.00908038,0.004600261,0.136256566,0.008615456,0.007775964,0.010924499,0.011985628,0.007858261,0.01191562,0.00870391,0.180375505,0.029740379,0.041257437,0.0392322,0.057590245,0.106537862,0.051301193,0.03166726,0.076769414,0.012479494,0.016580268,0.011774891,0.011643284,0.007556435,0.009046862,0.008941878,normal
19,0.040058233,0.0048804,0.005983184,0.010895262,0.006268315,0.008428299,0.013210682,0.024510198,0.147013783,0.016380093,0.01515711,0.063959882,0.016819888,0.032448485,0.034217993,0.093958117,0.561095851,0.056278149,0.061654491,0.231260226,0.055055472,0.160485392,0.123611709,0.360782561,0.032459965,0.018012281,0.018727429,0.01291433,0.012134003,0.010433774,0.014253898,0.021433337,normal
20,0.041138224,0.019483001,0.350457806,0.148938151,0.23225305,0.331775112,0.309451375,0.111106902,0.076085398,0.005111036,0.056559123,0.056064047,0.046693452,0.081723378,0.056507763,0.042320529,0.074616104,0.00538552,0.048572097,0.062698294,0.066589449,0.059347377,0.044540268,0.133452593,0.040797849,0.005742156,0.056445378,0.046044031,0.025399495,0.056887422,0.064450397,0.034045657,pain
21,0.031582843,0.00086152,0.050864307,0.004244651,0.026808322,0.256302034,0.048708868,0.009525147,0.061948556,0.000343077,0.011924686,0.002127389,0.007543823,0.083049291,0.014021808,0.006903017,0.060559661,0.000369551,0.010521122,0.002241664,0.009659826,0.057011197,0.011119646,0.018756694,0.037810719,0.000316398,0.009939902,0.001569546,0.003897663,0.04691425,0.012684819,0.004962624,pain
22,0.033608277,0.002771116,0.165427159,0.015010922,0.09013757,0.210507141,0.076542545,0.016271268,0.06523727,0.0018858,0.05679877,0.008272794,0.037741885,0.076330601,0.030708679,0.018910201,0.061480715,0.002195695,0.05600269,0.010232568,0.053989583,0.071360171,0.026141189,0.048374229,0.035829927,0.001586441,0.047229821,0.00696932,0.017978031,0.060956032,0.031105081,0.011085643,pain
23,0.013498608,0.012166731,0.012689246,0.013143937,0.016303654,0.011662865,0.013964115,0.023839204,0.01963667,0.013707495,0.015997298,0.018369861,0.02015772,0.012241448,0.018642222,0.040266876,0.029150149,0.007538397,0.015683423,0.02614458,0.144444333,0.313690523,0.020623243,0.054054753,0.033251065,0.032942336,0.032636687,0.032814534,0.060677328,0.043840841,0.034508614,0.047968678,pain
24,0.050663836,0.007600498,0.024565225,0.009912413,0.019459194,0.031287139,0.012328839,0.007382933,0.114564158,0.016983472,0.036196432,0.009084367,0.030761434,0.023371159,0.016285295,0.012001272,0.114197879,0.024680674,0.057737445,0.013799836,0.051099666,0.022160647,0.02534454,0.037825031,0.0687581,0.052733838,0.071244478,0.025160757,0.03065254,0.032726173,0.038627502,0.047256865,pain
25,0.013475875,0.001663354,0.012647696,0.003205945,0.015052742,0.015587998,0.008918572,0.002959159,0.028882288,0.004662885,0.028930349,0.0052824,0.037599034,0.01592086,0.016122516,0.005643167,0.029219886,0.01171339,0.079096111,0.017486963,0.121460711,0.032667591,0.039159412,0.011970734,0.019343574,0.010939135,0.038250104,0.012929691,0.027365484,0.030800949,0.035557796,0.027206356,pain
26,0.026008306,0.008526058,0.025988859,0.011402351,0.028516165,0.037958402,0.014275136,0.00748033,0.056159949,0.021902113,0.035479711,0.012524923,0.036377779,0.031516006,0.020339142,0.010474874,0.052705805,0.03316505,0.055105455,0.019389032,0.062195188,0.028581304,0.027879697,0.03718944,0.035303605,0.063733029,0.069479434,0.026993656,0.036139511,0.035788947,0.043373791,0.0516551,pain
27,0.028203725,0.001731435,0.014248879,0.005593607,0.006776231,0.013698079,0.009745467,0.002929743,0.060103728,0.002561459,0.023800656,0.006756524,0.011477113,0.012180011,0.011888212,0.002979295,0.057386078,0.004099115,0.053163353,0.019341112,0.032632065,0.023004991,0.021617428,0.007861151,0.040828416,0.011001935,0.051727587,0.023367074,0.014395244,0.039436166,0.041190773,0.018752808,pain
28,0.012548298,0.00330363,0.01498593,0.005286826,0.014187174,0.011539539,0.008250086,0.003651632,0.02821349,0.004082637,0.024015121,0.011195777,0.04286425,0.013469154,0.012741422,0.003929726,0.027736414,0.009260965,0.060485828,0.040796592,0.156935612,0.035215901,0.031535612,0.011859548,0.018693013,0.021844736,0.046413405,0.020924617,0.024388809,0.032481776,0.032191882,0.025492282,pain
